RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea
HH,I5034 ,2,NL,64T2 ,MRN2,4731.277084,,,748721,2019NL002,2019,4,15,12,,15,d,52.767,4.25183,,,26,,,,,R,2,,,2006,,,,,,,,,,,,,,,,,,,,,,8.51,8.52,33.55,33.72,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3424.143257,,,748722,2019NL003,2019,4,15,14,,12,d,53.15233,4.425,,,30,,,,,R,2,,,1238,,,,,,,,,,,,,,,,,,,,,,8.86,8.42,32,33.25,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,2397.632676,,,748789,2019NL004,2019,4,15,15,,,d,53.335,4.60533,,,27,,,,,R,2,,,859,,,,,,,,,,,,,,,,,,,,,,8.62,8.43,33.2,33.3,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,2339.811952,,,748719,2019NL005,2019,4,15,17,,11,d,53.652,4.87283,,,31,,,,,R,2,,,752,,,,,,,,,,,,,,,,,,,,,,8,7.88,34.34,34.36,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3270.340132,,,748725,2019NL006,2019,4,15,18,,10,d,53.75167,5.25517,,,33,,,,,R,2,,,936,,,,,,,,,,,,,,,,,,,,,,8.38,8.06,33.85,34.28,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3900.971492,,,748726,2019NL007,2019,4,15,20,,12,d,53.741,5.74,,,28,,,,,R,2,,,991,,,,,,,,,,,,,,,,,,,,,,8.35,8.13,33.83,34.36,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3537.857347,,,748727,2019NL008,2019,4,15,22,,11,n,53.72017,6.30867,,,25,,,,,R,2,,,694,,,,,,,,,,,,,,,,,,,,,,8.15,8.15,32.75,33.03,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3583.728455,,,748729,2019NL010,2019,4,16,2,,12,n,53.8535,7.25033,,,25,,,,,R,2,,,845,,,,,,,,,,,,,,,,,,,,,,7.36,7.6,32.32,33.23,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3354.758389,,,748730,2019NL011,2019,4,16,5,,12,n,54.25083,7.64133,,,41,,,,,R,2,,,733,,,,,,,,,,,,,,,,,,,,,,7.19,7.21,32.7,33.69,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3193.245834,,,748735,2019NL016,2019,4,16,9,,11,d,54.70983,7.5085,,,24,,,,,R,2,,,1172,,,,,,,,,,,,,,,,,,,,,,7.17,7.09,30.76,32.28,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3275.351261,,,748738,2019NL019,2019,4,16,14,,11,d,55.752,7.23367,,,30,,,,,R,2,,,1030,,,,,,,,,,,,,,,,,,,,,,7.54,7.28,33.06,33.83,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3873.217544,,,748741,2019NL022,2019,4,16,19,,13,d,55.68833,5.7425,,,51,,,,,R,2,,,1053,,,,,,,,,,,,,,,,,,,,,,7.04,6.9,34.71,34.74,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3670.074069,,,748742,2019NL023,2019,4,16,20,,12,d,55.5675,5.30683,,,49,,,,,R,2,,,1102,,,,,,,,,,,,,,,,,,,,,,7.09,7.06,34.77,34.79,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3793.810417,,,748743,2019NL024,2019,4,16,22,,10,n,55.32133,4.92317,,,49,,,,,R,2,,,1041,,,,,,,,,,,,,,,,,,,,,,7.2,7.21,34.76,34.76,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3623.046547,,,748745,2019NL026,2019,4,17,0,,10,n,55.251,5.7535,,,47,,,,,R,2,,,988,,,,,,,,,,,,,,,,,,,,,,7.07,7.07,34.71,34.71,,,500,,,,,,,,
