RecordType,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea
HH,2,NL,64T2 ,MRN2,2971.526823,,,721939,2018NL040,2018,4,19,23,,10,n,54.75033,6.27233,,,41,,,,,R,2,,,961,,,,,,,,,,,,,,,,,,,,,,6.55,5.81,34.35,34.46,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3801.576162,,,721940,2018NL041,2018,4,19,0,,12,n,54.74183,6.71883,,,42,,,,,R,2,,,1023,,,,,,,,,,,,,,,,,,,,,,5.83,5.85,35.13,34.66,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4306.792647,,,721941,2018NL042,2018,4,19,2,,14,n,54.67217,7.0345,,,34,,,,,R,2,,,1051,,,,,,,,,,,,,,,,,,,,,,4.87,4.88,34.87,34.5,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4684.281867,,,721942,2018NL043,2018,4,19,3,,14,n,54.34233,7.13717,,,41,,,,,R,2,,,1789,,,,,,,,,,,,,,,,,,,,,,6.1,6.38,33.71,33.23,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,6077.540851,,,721943,2018NL044,2018,4,19,4,,17,n,54.243,6.70533,,,37,,,,,R,2,,,2348,,,,,,,,,,,,,,,,,,,,,,6.12,6.31,33.84,33.53,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,6352.919414,,,721944,2018NL045,2018,4,19,6,,17,n,54.23417,6.23833,,,38,,,,,R,2,,,3465,,,,,,,,,,,,,,,,,,,,,,6.62,6.53,33.88,33.39,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3110.283463,,,721945,2018NL050,2018,4,19,9,,10,d,54.22417,5.7085,,,40,,,,,R,2,,,700,,,,,,,,,,,,,,,,,,,,,,7.38,7.22,32.25,32.66,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3500.580988,,,721946,2018NL051,2018,4,19,10,,10,d,54.24333,5.25767,,,43,,,,,R,2,,,1052,,,,,,,,,,,,,,,,,,,,,,7.37,7.23,33.66,33.25,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3122.02441,,,721947,2018NL052,2018,4,19,12,,10,d,54.24217,4.708,,,47,,,,,R,2,,,1102,,,,,,,,,,,,,,,,,,,,,,7.05,6.73,18.89,33.68,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3508.764072,,,721948,2018NL053,2018,4,19,13,,10,d,54.24033,4.22433,,,50,,,,,R,2,,,4395,,,,,,,,,,,,,,,,,,,,,,7.15,6.77,36.16,35.12,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3433.337385,,,721949,2018NL054,2018,4,19,14,,10,d,54.15583,3.84317,,,46,,,,,R,2,,,1194,,,,,,,,,,,,,,,,,,,,,,6.46,6.16,36.19,35.02,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3978.046145,,,721950,2018NL055,2018,4,19,16,,12,d,53.8245,3.85017,,,40,,,,,R,2,,,1134,,,,,,,,,,,,,,,,,,,,,,7.47,7.11,35.73,36.4,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4544.813654,,,721951,2018NL056,2018,4,19,17,,14,d,53.652,4.15017,,,40,,,,,R,2,,,3022,,,,,,,,,,,,,,,,,,,,,,7.61,7.41,35.5,34.61,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3635.779766,,,721952,2018NL057,2018,4,19,18,,11,d,53.32633,3.83533,,,28,,,,,R,2,,,911,,,,,,,,,,,,,,,,,,,,,,7.38,7.38,35.31,35.15,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3712.985384,,,721953,2018NL058,2018,4,19,20,,11,d,53.23367,3.37,,,26,,,,,R,2,,,1486,,,,,,,,,,,,,,,,,,,,,,6.7,6.72,33.11,34.91,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4375.459395,,,721954,2018NL059,2018,4,19,22,,13,n,52.81,3.35667,,,42,,,,,R,2,,,1580,,,,,,,,,,,,,,,,,,,,,,8.29,8.26,37.1,36.12,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4184.757961,,,721955,2018NL060,2018,4,20,0,,12,n,52.65133,3.693,,,29,,,,,R,2,,,1589,,,,,,,,,,,,,,,,,,,,,,7.91,7.9,35.13,35.2,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3510.543003,,,721956,2018NL061,2018,4,20,1,,11,n,52.3265,3.722,,,29,,,,,R,2,,,1011,,,,,,,,,,,,,,,,,,,,,,8.04,7.94,35.96,35.26,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3395.268256,,,721908,2018NL062,2018,4,20,3,,11,n,52.26817,3.39167,,,34,,,,,R,2,,,5142,,,,,,,,,,,,,,,,,,,,,,7.95,7.95,35.01,34.88,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3771.453071,,,748720,2019NL001,2019,4,15,9,,12,d,52.27417,4.25267,,,20,,,,,R,2,,,1550,,,,,,,,,,,,,,,,,,,,,,8.63,8.61,30.91,31.06,,,500,,,,,,,,
